# NullPlayer third-party components manifest (source of truth for bundled notices)
# Tab-separated. Columns:
#   key   name   spdx   copyright   source_url   version   license_text   bundle_glob
# - key: component id. For packages in Package.resolved, this must match the
#   package identity so validate_notices.sh can detect uncovered package pins.
# - license_text: path to the required license text, relative to the app's
#   Resources/ directory (these files are shipped inside the app bundle).
# - bundle_glob: basename glob for the corresponding artifact in
#   Contents/Frameworks (validate_notices.sh requires every bundled framework
#   /dylib to match one entry). Use "-" for components compiled into the
#   NullPlayer binary (no standalone bundled artifact).
# Regenerate ThirdPartyNotices.txt after editing: scripts/generate_third_party_notices.sh
# See docs/third-party-notices.md for the refresh process.
#
# === SPM dependencies compiled into the NullPlayer binary ===
ksplayer	KSPlayer	GPL-3.0-or-later	Copyright (c) kingslay and the KSPlayer contributors	https://github.com/kingslay/KSPlayer	main @ a7cddd8	ThirdPartyLicenses/licenses/GPL-3.0.txt	-
ffmpegkit	FFmpegKit	GPL-3.0-or-later	Copyright (c) 2018-2023 Taner Sener; kingslay fork	https://github.com/kingslay/FFmpegKit	6.1.3	ThirdPartyLicenses/licenses/GPL-3.0.txt	-
ffmpeg	FFmpeg	LGPL-2.1-or-later	Copyright (c) 2000-2024 the FFmpeg developers	https://ffmpeg.org	6.1.x (via FFmpegKit)	ThirdPartyLicenses/licenses/LGPL-2.1.txt	-
sqlite.swift	SQLite.swift	MIT	Copyright (c) 2014-2015 Stephen Celis	https://github.com/stephencelis/SQLite.swift	0.15.4	ThirdPartyLicenses/SQLiteSwift_LICENSE.txt	-
swift-toolchain-sqlite	swift-toolchain-sqlite	Apache-2.0	Copyright Apple Inc. and the Swift project authors	https://github.com/swiftlang/swift-toolchain-sqlite	1.0.4	ThirdPartyLicenses/licenses/Apache-2.0.txt	-
sqlite	SQLite	blessing (public domain)	D. Richard Hipp and the SQLite authors	https://www.sqlite.org	bundled via swift-toolchain-sqlite	ThirdPartyLicenses/SQLite_PublicDomain.txt	-
zipfoundation	ZIPFoundation	MIT	Copyright (c) 2017-2025 Thomas Zoechling	https://github.com/weichsel/ZIPFoundation	0.9.20	ThirdPartyLicenses/ZIPFoundation_LICENSE.txt	-
audiostreaming	AudioStreaming	MIT	Copyright (c) 2020 Dimitris C.; (c) 2012-2014 Thong Nguyen	https://github.com/dimitris-c/AudioStreaming	1.4.4	ThirdPartyLicenses/AudioStreaming_LICENSE.txt	-
flyingfox	FlyingFox	MIT	Copyright (c) 2022 Simon Whitty	https://github.com/swhitty/FlyingFox	0.26.2	ThirdPartyLicenses/FlyingFox_LICENSE.txt	-
#
# === Bundled binary frameworks / dylibs (Contents/Frameworks) ===
